id,name,expansion_id,expansion,points,criteria_count,criteria
463,Realm First! Level 80 Warlock (Legacy),-1,Unknown (-1),0,0,
293,Disturbing the Peace,-1,Unknown (-1),0,0,
1254,Friend or Fowl?,-1,Unknown (-1),0,0,
1291,Lonely?,-1,Unknown (-1),0,0,
545,Shave and a Haircut,-1,Unknown (-1),0,0,
2785,Champion of Silvermoon City,-1,Unknown (-1),0,0,
461,Realm First! Level 80 Death Knight (Legacy),-1,Unknown (-1),0,0,
480,Azjol-Nerub,-1,Unknown (-1),0,3,[1] Krik'thir the Gatewatcher | [2] Hadronox | [3] Anub'arak
487,The Oculus,-1,Unknown (-1),0,4,[1] Drakos the Interrogator | [2] Mage-Lord Urom | [3] Varos Cloudstrider | [4] Ley-Guardian Eregos
896,A Quest a Day Keeps the Ogres at Bay,-1,Unknown (-1),0,0,
471,Sergeant,-1,Unknown (-1),0,0,
255,Bring Me The Head of... Oh Wait,-1,Unknown (-1),0,0,
776,Explore Elwynn Forest,-1,Unknown (-1),0,11,[1] Northshire Valley | [2] Westbrook Garrison | [3] Goldshire | [4] Fargodeep Mine | [5] Jerod's Landing | [6] Tower of Azora | [7] Brackwell Pumpkin Patch | [8] Eastvale Logging Camp | [9] Ridgepoint Tower | [10] Crystal Lake | [11] Stone Cairn Lake
778,Explore Duskwood,-1,Unknown (-1),0,13,[1] The Hushed Bank | [2] Addle's Stead | [3] Raven Hill | [4] Raven Hill Cemetery | [5] Vul'Gol Ogre Mound | [6] Twilight Grove | [7] The Yorgen Farmstead | [8] Brightwood Grove | [9] The Rotting Orchard | [10] Tranquil Gardens Cemetery | [11] Darkshire | [12] Manor Mistmantle | [13] The Darkened Bank
479,The Culling of Stratholme,-1,Unknown (-1),0,4,[1] Meathook | [2] Chrono-Lord Epoch | [3] Salramm the Fleshcrafter | [4] Mal'Ganis
7535,Chapter III: Two Princes,-1,Unknown (-1),0,1,"[1] Complete Quest ""Heart of the Thunder King."""
1175,Battlemaster,-1,Unknown (-1),0,4,[1] Master of Alterac Valley | [2] Master of Arathi Basin | [3] Master of Warsong Gulch | [4] Master of Eye of the Storm
158,Me and the Cappin' Makin' It Happen,-1,Unknown (-1),0,0,
159,Let's Get This Done,-1,Unknown (-1),0,0,
1696,The Rocket's Pink Glare,-1,Unknown (-1),0,1,[1] Shoot off 10 Lovely Fireworks in 20 seconds or less
1157,Duel-icious,-1,Unknown (-1),0,0,
961,Honorary Frenzyheart,-1,Unknown (-1),0,8,[1] Chicken Party! | [2] Kartak's Rampage | [3] Tools of War | [4] Secret Strength of the Frenzyheart | [5] The Heartblood's Strength | [6] Strength of the Tempest | [7] Rejek: First Blood | [8] A Hero's Headgear
7611,Pandarian Angler,-1,Unknown (-1),0,12,[1] Emperor Salmon | [2] Flying Tiger Gourami | [3] Giant Mantis Shrimp | [4] Golden Carp | [5] Jade Lungfish | [6] Jewel Danio | [7] Krasarang Paddlefish | [8] Mimic Octopus | [9] Redbelly Mandarin | [10] Reef Octopus | [11] Spinefish Alpha | [12] Tiger Gourami
1699,Fistful of Love,-1,Unknown (-1),0,11,[1] Gnome Warlock | [2] Orc Death Knight | [3] Human Death Knight | [4] Night Elf Priest | [5] Orc Shaman | [6] Tauren Druid | [7] Undead Warrior | [8] Troll Rogue | [9] Blood Elf Mage | [10] Draenei Paladin | [11] Dwarf Hunter
202,Quick Cap,-1,Unknown (-1),0,0,
1694,Lovely Luck Is On Your Side,-1,Unknown (-1),0,0,
670,Heroic: Underbog,-1,Unknown (-1),0,0,
677,Heroic: The Steamvault,-1,Unknown (-1),0,0,
122,Expert Cook,-1,Unknown (-1),0,0,
1205,Hero of Shattrath,-1,Unknown (-1),0,0,
608,25 Coins of Ancestry,-1,Unknown (-1),0,1,[1] Receive 25 Coins of Ancestry
10334,Predator,-1,Unknown (-1),0,0,
1024,Flame Warden of Outland,-1,Unknown (-1),0,7,[1] Blade's Edge Mountains | [2] Hellfire Peninsula | [3] Nagrand | [4] Netherstorm | [5] Shadowmoon Valley | [6] Terokkar Forest | [7] Zangarmarsh
1027,Flame Keeper of Outland,-1,Unknown (-1),0,7,[1] Blade's Edge Mountains | [2] Hellfire Peninsula | [3] Nagrand | [4] Netherstorm | [5] Shadowmoon Valley | [6] Terokkar Forest | [7] Zangarmarsh
484,Gundrak,-1,Unknown (-1),0,4,[1] Slad'ran | [2] Moorabi | [3] Drakkari Colossus | [4] Gal'darah
504,100 Quests Completed,-1,Unknown (-1),0,1,
508,1500 Quests Completed,-1,Unknown (-1),0,1,
515,500 Honorable Kills,-1,Unknown (-1),0,1,[1] Get 500 honorable kills
520,20 Exalted Reputations,-1,Unknown (-1),0,0,
464,Realm First! Level 80 Priest (Legacy),-1,Unknown (-1),0,0,
649,The Slave Pens,-1,Unknown (-1),0,0,
154,Arathi Basin Victory,-1,Unknown (-1),0,0,
409,Last Man Standing,-1,Unknown (-1),0,0,
977,1000 Daily Quests Completed,-1,Unknown (-1),0,1,
1262,Loremaster of Outland,-1,Unknown (-1),0,7,[1] To Hellfire and Back | [2] Mysteries of the Marsh | [3] Terror of Terokkar | [4] Nagrand Slam | [5] On the Blade's Edge | [6] Into the Nether | [7] Shadow of the Betrayer
635,Razorfen Kraul,-1,Unknown (-1),0,0,
636,Razorfen Downs,-1,Unknown (-1),0,0,
6458,Guardians of Mogu'shan,-1,Unknown (-1),0,3,[1] Stone Guard | [2] Feng the Accursed | [3] Gara'jal the Spiritbinder
1552,Frenzied Firecracker,-1,Unknown (-1),0,1,[1] Shoot off 10 Festival Firecrackers in 30 seconds or less
1023,Flame Warden of Kalimdor,-1,Unknown (-1),0,14,[1] Ashenvale | [2] Azuremyst Isle | [3] Bloodmyst Isle | [4] Darkshore | [5] Desolace | [6] Dustwallow Marsh | [7] Feralas | [8] Silithus | [9] Southern Barrens | [10] Stonetalon Mountains | [11] Tanaris | [12] Teldrassil | [13] Un'Goro Crater | [14] Winterspring
156,Territorial Dominance,-1,Unknown (-1),0,0,
494,Heroic: The Violet Hold,-1,Unknown (-1),0,0,
2083,Grand Ice Mammoth,-1,Unknown (-1),0,0,
1035,Desecration of the Horde,-1,Unknown (-1),0,5,[1] Extinguishing the Cataclysm | [2] Extinguishing Eastern Kingdoms | [3] Extinguishing Kalimdor | [4] Extinguishing Northrend | [5] Extinguishing Outland
651,Mana-Tombs,-1,Unknown (-1),0,0,
654,Shadow Labyrinth,-1,Unknown (-1),0,0,
725,"Thori'dal, the Stars' Fury",-1,Unknown (-1),0,0,
957,Hero of the Zandalar Tribe,-1,Unknown (-1),0,0,
1193,On the Blade's Edge,-1,Unknown (-1),0,7,[1] Sylvanaar | [2] Toshley's Station | [3] The Gronn Threat | [4] Thunderlord Stronghold | [5] Reunion | [6] The Mok'Nathal | [7] Ruuan Weald
8037,Genetically Unmodified Organism,-1,Unknown (-1),0,0,
8073,Cage Match,-1,Unknown (-1),0,1,[1] No creature has left the center ring.
8077,One-Up,-1,Unknown (-1),0,0,
203,Not In My House,-1,Unknown (-1),0,0,
402,Three's Company: 1550,-1,Unknown (-1),0,0,
694,Serpentshrine Cavern,-1,Unknown (-1),0,0,
672,Heroic: Auchenai Crypts,-1,Unknown (-1),0,0,
1637,Spirit of Competition,-1,Unknown (-1),0,0,
